,IMDb Id,Companion(split),Actor
1657,1577258,Amy Pond,Karen Gillan
1658,1577259,Amy Pond,Karen Gillan
1659,1577259,River Song,Alex Kingston
1660,1589021,Amy Pond,Karen Gillan
1661,1589021,River Song,Alex Kingston
1662,1591787,Amy Pond,Karen Gillan
1663,1591787,Rory,Arthur Darvill
1664,1591788,Amy Pond,Karen Gillan
1665,1591788,Rory,Arthur Darvill
1666,1591789,Amy Pond,Karen Gillan
1667,1591789,Rory,Arthur Darvill
1668,1591790,Amy Pond,Karen Gillan
1669,1591790,Rory,Arthur Darvill
1670,1591786,Amy Pond,Karen Gillan
1671,1607757,Amy Pond,Karen Gillan
1672,1607757,Craig,James Corden
1673,1607757,Rose Tyler,Billie Piper
1674,1607758,Amy Pond,Karen Gillan
1675,1607758,River Song,Alex Kingston
1676,1607758,Rory,Arthur Darvill
1677,1607759,Amy Pond,Karen Gillan
1678,1607759,River Song,Alex Kingston
1679,1607759,Rory,Arthur Darvill
1680,1672218,Amy Pond,Karen Gillan
1681,1672218,Rory,Arthur Darvill
1682,1723888,Amy Pond,Karen Gillan
1683,1723888,Rory,Arthur Darvill
1684,1723888,River Song,Alex Kingston
1685,1723889,Amy Pond,Karen Gillan
1686,1723889,Rory,Arthur Darvill
1687,1723889,River Song,Alex Kingston
1688,1721225,Amy Pond,Karen Gillan
1689,1721225,Rory,Arthur Darvill
1690,1721226,Amy Pond,Karen Gillan
1691,1721226,Rory,Arthur Darvill
1692,1777783,Amy Pond,Karen Gillan
1693,1777783,Rory,Arthur Darvill
1694,1777782,Amy Pond,Karen Gillan
1695,1777782,Rory,Arthur Darvill
1696,1795142,Amy Pond,Karen Gillan
1697,1795142,Rory,Arthur Darvill
1698,1795142,River Song,Alex Kingston
1699,1795142,Martha Jones,Freema Agyeman
1700,1795142,Rose Tyler,Billie Piper
1701,1795142,Donna Noble,Catherine Tate
1702,1795143,Amy Pond,Karen Gillan
1703,1795143,Rory,Arthur Darvill
1704,1795139,Amy Pond,Karen Gillan
1705,1795139,Rory,Arthur Darvill
1706,1795140,Amy Pond,Karen Gillan
1707,1795140,Rory,Arthur Darvill
1708,1795141,Amy Pond,Karen Gillan
1709,1795141,Rory,Arthur Darvill
1710,1795141,Craig Owens,James Corden
1711,1795141,River Song,Alex Kingston
1712,1824359,Amy Pond,Karen Gillan
1713,1824359,Rory,Arthur Darvill
1714,1824359,River Song,Alex Kingston
1715,1998643,Amy Pond,Karen Gillan
1716,1998643,Rory Williams,Arthur Darvill
1717,2402301,Amy Pond,Karen Gillan
1718,2402301,Rory Williams,Arthur Darvill
1719,2402301,Oswin,Jenna Coleman
1720,2317659,Amy Pond,Karen Gillan
1721,2317659,Rory Williams,Arthur Darvill
1722,2340501,Amy Pond,Karen Gillan
1723,2340501,Rory Williams,Arthur Darvill
1724,2399633,Amy Pond,Karen Gillan
1725,2399633,Rory Williams,Arthur Darvill
